DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
04-Jan-16,SCOM,Safaricom Plc,23.5,33.5,16.05,16.7,16.35,16.3,0.05,0.31%,"1,642,000",-
05-Jan-16,SCOM,Safaricom Plc,23.5,33.5,16.2,16.55,16.35,16.35,-,-,"9,798,000",-
06-Jan-16,SCOM,Safaricom Plc,23.5,33.5,16.4,16.75,16.6,16.35,0.25,1.53%,"5,170,500",-
07-Jan-16,SCOM,Safaricom Plc,23.5,33.5,16.5,16.7,16.5,16.6,-0.1,0.60%,"1,546,100",-
08-Jan-16,SCOM,Safaricom Plc,23.5,33.5,16.2,16.5,16.4,16.5,-0.1,0.61%,"6,271,800",-
11-Jan-16,SCOM,Safaricom Plc,23.5,33.5,16,16.4,16.25,16.4,-0.15,0.91%,"9,228,600",-
12-Jan-16,SCOM,Safaricom Plc,23.5,33.5,15.9,16.1,16,16.25,-0.25,1.54%,"6,672,100",-
13-Jan-16,SCOM,Safaricom Plc,23.5,33.5,15.85,16.2,16.1,16,0.1,0.63%,"1,534,900",-
14-Jan-16,SCOM,Safaricom Plc,23.5,33.5,16,16.15,16.05,16.1,-0.05,0.31%,"5,253,900",-
15-Jan-16,SCOM,Safaricom Plc,23.5,33.5,16,16.15,16.05,16.05,-,-,"3,320,800",-
18-Jan-16,SCOM,Safaricom Plc,23.5,33.5,16.1,16.2,16.1,16.05,0.05,0.31%,"1,238,500",-
19-Jan-16,SCOM,Safaricom Plc,23.5,33.5,15.9,16.2,16.1,16.1,-,-,"22,757,900",-
20-Jan-16,SCOM,Safaricom Plc,23.5,33.5,15.45,16,15.75,16.1,-0.35,2.17%,"7,618,500",-
21-Jan-16,SCOM,Safaricom Plc,23.5,33.5,15,15.75,15.25,15.75,-0.5,3.17%,"2,931,500",-
22-Jan-16,SCOM,Safaricom Plc,23.5,33.5,15,15.4,15.1,15.25,-0.15,0.98%,"5,483,700",-
25-Jan-16,SCOM,Safaricom Plc,23.5,33.5,15.05,15.4,15.25,15.1,0.15,0.99%,"4,810,600",-
26-Jan-16,SCOM,Safaricom Plc,23.5,33.5,15.25,15.35,15.25,15.25,-,-,"11,483,800",-
27-Jan-16,SCOM,Safaricom Plc,23.5,33.5,15.1,15.3,15.15,15.25,-0.1,0.66%,"4,885,900",-
28-Jan-16,SCOM,Safaricom Plc,23.5,33.5,15.1,15.25,15.15,15.15,-,-,"3,593,600",-
29-Jan-16,SCOM,Safaricom Plc,23.5,33.5,15.15,15.3,15.15,15.15,-,-,"2,959,200",-
02-Feb-16,SCOM,Safaricom Plc,23.5,33.5,15.5,16.5,16,15.15,0.85,5.61%,"7,257,700",-
03-Feb-16,SCOM,Safaricom Plc,23.5,33.5,15.7,17,16.65,16,0.65,4.06%,"9,287,300",-
04-Feb-16,SCOM,Safaricom Plc,23.5,33.5,15.65,16.5,16.25,16.65,-0.4,2.40%,"11,745,700",-
05-Feb-16,SCOM,Safaricom Plc,23.5,33.5,16,16.5,16.2,16.25,-0.05,0.31%,"9,178,500",-
08-Feb-16,SCOM,Safaricom Plc,23.5,33.5,15.9,16.2,16.15,16.2,-0.05,0.31%,"1,790,400",-
09-Feb-16,SCOM,Safaricom Plc,23.5,33.5,15.6,16.1,16,16.15,-0.15,0.93%,"13,414,300",-
10-Feb-16,SCOM,Safaricom Plc,23.5,33.5,15.55,16,15.75,16,-0.25,1.56%,"3,232,600",-
11-Feb-16,SCOM,Safaricom Plc,23.5,33.5,15.55,16,15.6,15.75,-0.15,0.95%,"9,005,900",-
12-Feb-16,SCOM,Safaricom Plc,23.5,33.5,15.65,15.95,15.8,15.6,0.2,1.28%,"10,362,800",-
