DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
02-Jan-13,SCOM,Safaricom Plc,23.5,33.5,5,5.15,5.1,5,0.1,2.00%,"3,320,600",-
03-Jan-13,SCOM,Safaricom Plc,23.5,33.5,5.1,5.25,5.15,5.1,0.05,0.98%,"7,252,500",-
04-Jan-13,SCOM,Safaricom Plc,23.5,33.5,5.15,5.35,5.25,5.15,0.1,1.94%,"4,125,900",-
07-Jan-13,SCOM,Safaricom Plc,23.5,33.5,5.2,5.45,5.35,5.25,0.1,1.90%,"4,098,600",-
08-Jan-13,SCOM,Safaricom Plc,23.5,33.5,5.4,5.85,5.6,5.35,0.25,4.67%,"10,998,900",-
09-Jan-13,SCOM,Safaricom Plc,23.5,33.5,5.5,6,5.8,5.6,0.2,3.57%,"13,692,600",-
10-Jan-13,SCOM,Safaricom Plc,23.5,33.5,5.55,5.8,5.6,5.8,-0.2,3.45%,"6,690,200",-
11-Jan-13,SCOM,Safaricom Plc,23.5,33.5,5.6,5.7,5.6,5.6,-,-,"4,441,400",-
14-Jan-13,SCOM,Safaricom Plc,23.5,33.5,5.6,5.7,5.6,5.6,-,-,"10,957,000",-
15-Jan-13,SCOM,Safaricom Plc,23.5,33.5,5.55,5.8,5.65,5.6,0.05,0.89%,"11,688,300",-
16-Jan-13,SCOM,Safaricom Plc,23.5,33.5,5.65,5.85,5.75,5.65,0.1,1.77%,"9,132,300",-
17-Jan-13,SCOM,Safaricom Plc,23.5,33.5,5.7,5.8,5.75,5.75,-,-,"15,912,500",-
18-Jan-13,SCOM,Safaricom Plc,23.5,33.5,5.75,5.8,5.75,5.75,-,-,"13,298,800",-
21-Jan-13,SCOM,Safaricom Plc,23.5,33.5,5.5,5.8,5.75,5.75,-,-,"44,024,200",-
22-Jan-13,SCOM,Safaricom Plc,23.5,33.5,5.55,5.75,5.65,5.75,-0.1,1.74%,"11,704,000",-
23-Jan-13,SCOM,Safaricom Plc,23.5,33.5,5.5,5.75,5.6,5.65,-0.05,0.88%,"15,443,800",-
