DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
02-Jan-19,SCOM,Safaricom Plc,23.5,33.5,22.2,23,22.25,22.2,0.05,0.23%,"1,778,300",-
03-Jan-19,SCOM,Safaricom Plc,23.5,33.5,21.8,22.5,22.15,22.25,-0.1,0.45%,"12,255,400",-
04-Jan-19,SCOM,Safaricom Plc,23.5,33.5,21,22,21.3,22.15,-0.85,3.84%,"2,210,300",-
07-Jan-19,SCOM,Safaricom Plc,23.5,33.5,21.3,21.8,21.45,21.3,0.15,0.70%,"6,283,800",-
08-Jan-19,SCOM,Safaricom Plc,23.5,33.5,21.5,22.2,22,21.45,0.55,2.56%,"1,532,800",-
09-Jan-19,SCOM,Safaricom Plc,23.5,33.5,22.15,22.75,22.3,22,0.3,1.36%,"21,758,400",-
10-Jan-19,SCOM,Safaricom Plc,23.5,33.5,22.4,24,23,22.3,0.7,3.14%,"24,914,800",-
11-Jan-19,SCOM,Safaricom Plc,23.5,33.5,22.8,23.75,23.4,23,0.4,1.74%,"4,875,800",-
14-Jan-19,SCOM,Safaricom Plc,23.5,33.5,23.25,23.65,23.5,23.4,0.1,0.43%,"22,014,500",-
15-Jan-19,SCOM,Safaricom Plc,23.5,33.5,23.5,23.8,23.5,23.5,-,-,"21,628,800",-
16-Jan-19,SCOM,Safaricom Plc,23.5,33.5,23.7,24.3,23.8,23.5,0.3,1.28%,"14,056,700",-
17-Jan-19,SCOM,Safaricom Plc,23.5,33.5,23.55,24,23.75,23.8,-0.05,0.21%,"5,577,100",-
18-Jan-19,SCOM,Safaricom Plc,23.5,33.5,23.5,23.95,23.7,23.75,-0.05,0.21%,"28,005,000",-
21-Jan-19,SCOM,Safaricom Plc,23.5,33.5,23.05,23.7,23.5,23.7,-0.2,0.84%,"20,871,500",-
22-Jan-19,SCOM,Safaricom Plc,23.5,33.5,23.05,23.5,23.3,23.5,-0.2,0.85%,"3,853,600",-
23-Jan-19,SCOM,Safaricom Plc,23.5,33.5,23.05,23.45,23.25,23.3,-0.05,0.21%,"2,765,100",-
24-Jan-19,SCOM,Safaricom Plc,23.5,33.5,23.05,23.4,23.2,23.25,-0.05,0.22%,"4,049,200",-
25-Jan-19,SCOM,Safaricom Plc,23.5,33.5,23.15,23.65,23.45,23.2,0.25,1.08%,"14,283,100",-
28-Jan-19,SCOM,Safaricom Plc,23.5,33.5,23.35,23.75,23.45,23.45,-,-,"23,039,500",-
29-Jan-19,SCOM,Safaricom Plc,23.5,33.5,23.05,23.6,23.45,23.45,-,-,"7,797,300",-
30-Jan-19,SCOM,Safaricom Plc,23.5,33.5,23.4,24,23.7,23.45,0.25,1.07%,"12,467,800",-
31-Jan-19,SCOM,Safaricom Plc,23.5,33.5,23.6,24.5,23.85,23.7,0.15,0.63%,"61,100,700",-
01-Feb-19,SCOM,Safaricom Plc,23.5,33.5,24,25.6,25.5,23.85,1.65,6.92%,"14,811,400",-
04-Feb-19,SCOM,Safaricom Plc,23.5,33.5,25.5,26.25,26,25.5,0.5,1.96%,"10,610,100",-
